bike_stations_id,latitude,longitude,free_bikes,empty_slots
97b25faf822b93fdbf72da1d594c0288,49.28117,-123.104419,18,0
9aa325529164ec68b4d96c4f1c4fc7c1,49.294318,-123.148808,8,10
e3d32ad772a5898c3b96c4d23d2cd542,49.298657,-123.121176,10,10
cadc004f0903ef45e898032143c0832f,49.258924,-123.152591,7,13
57e928d8c30fab0ebffb3ede850f89d6,49.266774,-123.141135,12,4
e44c2235dd603dbee54fe08f7543e85a,49.276144,-123.151272,19,11
3596b4831ee2ea7812de753b32306835,49.268339,-123.157443,7,11
35eb539fb9298bb7e4f6759ca0256505,49.262062,-123.104656,14,6
ace20c241ee38643c9060f290b215b9d,49.265071,-123.123864,10,4
3aed670ccdcd94b966c0f505f8b028c7,49.265198,-123.131043,4,12
82c794442f54fabf9db6e392ca1fac0f,49.297933,-123.130758,11,9
1648ead5ea617d2cea115869d9516f5e,49.276294,-123.106534,14,4
91035fe1d70b65c9cb8ec4a007af7c7f,49.277469,-123.081315,8,5
1ef5c4ff3f0b09422bb1597fd9d7568b,49.283992,-123.091206,9,11
0459b7e93703980b853cd65a9dc60596,49.273777,-123.092723,6,8
475627e149c1a6ba73caac8d8d2fa617,49.266751,-123.073501,4,11
17a3320a52bcc62161908967f8a06613,49.264466,-123.085183,5,15
aed214941445e0345aa3254805a9e8b8,49.280197,-123.065859,4,12
d67640af1b3b3b3ce47169dbc9182470,49.266725,-123.065925,5,11
0a43242bee10cd33f539af2c1bf5ecbf,49.256857,-123.065646,5,12
d02e2eaafda91425eddd24d8acd328ab,49.257985,-123.083366,6,8
08c7a90bf297fde8c1f1156db13987d4,49.257939,-123.089531,2,14
97005696a3dff3366a8410b817388990,49.256496,-123.075426,7,7
c52e51e3288a00993bdf892fdc2c2c2c,49.283236,-123.070443,12,4
45a4c865db23e1cad0209afa5a799de0,49.302577,-123.155616,15,23
b562f08327af465e4531e20226789489,49.273103,-123.069892,5,17
9a48ca226f82f52d02707b054ebc7e9e,49.277615,-123.091654,6,6
9a5478470b56379c31cf4e671584d5cc,49.268216,-123.103168,17,2
b428c0e64d9b9fdb3bf8e85c95ffdf6b,49.280852,-123.084746,8,6
8e93d0da1ee6caadf21ed9575b5fa9da,49.283298,-123.142288,20,1
844aa75af0d3235a86ff827c81395afd,49.312568,-123.144177,6,16
2781435bde344e1b64f1bebac6bc9008,49.256825,-123.105234,4,10
e9b37f2d9b7b2e2e3ade73f13acb69b2,49.275683,-123.124388,6,8
32f70f7ae14ba87523c6286a6c4d5c37,49.282503,-123.124697,8,12
df5ab349a7a85d4b10da4cc3ec65c607,49.283749,-123.136133,1,18
e0318460138ffbf4692005d5b5a9f900,49.262944,-123.148109,5,9
db51c556fe50ec1deefbc9697c70cb51,49.27029,-123.135025,13,7
58a026f0c506caec20697a4f90538450,49.280427,-123.074082,9,7
0e0aef6fabaa808b3a3cef24657257a4,49.279259,-123.119145,2,16
899f59a9994302e8e1e4be01117ef707,49.27247,-123.185643,4,20
2681455ba2d97283998a806b14d3e95c,49.263523,-123.155267,6,12
c64ee19c62a363019ddbaedf71df2882,49.263746,-123.069892,6,10
421516af381a11f54d07fc79be68d3d3,49.258761,-123.127071,3,10
5ba6e9725b1b0ee8cd25df976e47726b,49.273011,-123.159663,7,13
abfaf72456a4828a22f5bf60d3a80777,49.264326,-123.164725,8,8
2ff7eb4230654603592ab1b0780ec5e1,49.266636,-123.183661,6,10
671ce9e4a92063620f772d2c57f0f3ab,49.268837,-123.177633,6,18
41a55a7e2908fbbd65175b794d26bc8d,49.255034,-123.120226,7,9
a59924f0ff3fb481a7bd8a5e9c36858f,49.271044,-123.170661,8,8
89a0b49a66e54a7639ad960962148a3e,49.252691,-123.101289,6,10
44fc3d58831a9f2b919c7a3a1838b74a,49.272172,-123.097978,8,10
d40db8c27c5bd409d57cfa846f73c378,49.271082,-123.191458,20,14
07b13214cb69f2ec007d888450f3d6bc,49.259579,-123.114769,3,11
f5e8fa1fc4252bda2f93dd27ed2d603f,49.2890705989865,-123.138407369468,15,2
c2a9c5d0e4578b928554c86f3d2c1162,49.287782,-123.12395,9,5
5f45325fdd6334a4c0d3b62853b19fa6,49.28512,-123.11242,19,0
085a0e120a08a80a58c0ae0ff9da565a,49.247854,-123.153422,5,13
bede4b24dae115d4cd43d2e6cc9812cb,49.261122,-123.097571,4,7
680b1ddfd50c4397b365c9c00f09b0d1,49.267725,-123.11311,6,11
7f091b50fbbd892bf9fb869a64c47120,49.238105,-123.154966,9,11
97388f4e4ea102a30345524bda465f4e,49.249722,-123.104991,7,5
066ecc3584913fa035ec1417323beb80,49.243375,-123.104978,9,13
7c17f51469f1a7145455f65ef6afbd87,49.285575,-123.061575,9,9
549f00f6039e8bb702a00dcca08a8ed0,49.249184,-123.116141,8,9
d8c4fe5e09b6f010fbaa85cc7302d66b,49.245535,-123.120496,11,11
0c42f45e4a14957ad4a6d521d0ba8bc3,49.289255,-123.132677,16,10
62a202eb98c0a4b09ba6746f5ee94ab3,49.252656,-123.067965,0,17
a6c6df138cbc97b9f81e7ffbbebdde6f,49.277527,-123.129464,2,21
04f64fde5ba1ebde8ad78c74914adb34,49.259469,-123.145718,7,11
