fsq_id,category_id,chains,distance,latitude,longitude,location_country,location_cross_street,location_formatted_address,location_locality,location_postcode,location_region,location_timezone,name,bike_station_id
4c05d5ec761ac9b6fc2a2074,13065,[],12,49.281113,-123.104179,CA,at Hastings St.,"428 Carrall St (at Hastings St.), Vancouver BC V6B 2J7",Vancouver,V6B 2J7,BC,America/Vancouver,Calabash Bistro,97b25faf822b93fdbf72da1d594c0288
4fae01d3e4b0861eac7a985a,13065,[],80,49.281911,-123.10449,CA,btwn Cordova & Hastings,"350 Carrall St (btwn Cordova & Hastings), Vancouver BC V6B 2J3",Vancouver,V6B 2J3,BC,America/Vancouver,Pidgin,97b25faf822b93fdbf72da1d594c0288
4dc9a94cd22d2af63302269c,13065,[],114,49.282251,-123.104519,CA,btwn Cordova & Hastings,"315 Carrall St (btwn Cordova & Hastings), Vancouver BC V6B 2J4",Vancouver,V6B 2J4,BC,America/Vancouver,Nelson the Seagull,97b25faf822b93fdbf72da1d594c0288
5165db75e4b09027efef5d80,13065,[],112,49.282194,-123.104514,CA,btwn Cordova & Hastings,"319 Carrall St (btwn Cordova & Hastings), Vancouver BC V6B 2J4",Vancouver,V6B 2J4,BC,America/Vancouver,East Van Roasters,97b25faf822b93fdbf72da1d594c0288
52f53570498ee24640cf0d17,13065,[],190,49.282729,-123.104884,CA,btwn Abbott & Carrall,"15 Cordova St W (btwn Abbott & Carrall), Vancouver BC V6B 1C8",Vancouver,V6B 1C8,BC,America/Vancouver,Tacofino,97b25faf822b93fdbf72da1d594c0288
5106fafce4b08b6e9833b1fd,13065,[],123,49.281922,-123.10587,CA,btwn Abbott & Carrall,"33 Hastings St W (btwn Abbott & Carrall), Vancouver BC V6B 1G4",Vancouver,V6B 1G4,BC,America/Vancouver,Lost and Found Cafe,97b25faf822b93fdbf72da1d594c0288
5571fb92498ea7cb0188781b,13065,[],138,49.280609,-123.106164,CA,,"88 Pender St W, Vancouver BC V6B 6N9",Vancouver,V6B 6N9,BC,America/Vancouver,Congee Noodle Delight,97b25faf822b93fdbf72da1d594c0288
5a9f4edd67f62b30720a457e,13065,[],154,49.281968,-123.10628,CA,,"51 Hastings St W, Vancouver BC V6B 1G4",Vancouver,V6B 1G4,BC,America/Vancouver,Moltaqa Moroccan Restaurant,97b25faf822b93fdbf72da1d594c0288
4aab5a60f964a5207f5920e3,13065,[],175,49.282806,-123.104079,CA,"btw Water, Powell & Alexander St","216 Carrall St (btw Water, Powell & Alexander St), Vancouver BC V6B 2J1",Vancouver,V6B 2J1,BC,America/Vancouver,Blarney Stone,97b25faf822b93fdbf72da1d594c0288
545ec0f8498e273850629fdf,13065,[],180,49.280187,-123.106696,CA,Abbott st,"88 Pender St W (Abbott st), Vancouver BC V6B 6N9",Vancouver,V6B 6N9,BC,America/Vancouver,Bali Thai,97b25faf822b93fdbf72da1d594c0288
5702dba6498e762cb70377df,13065,[],196,49.280815,-123.106993,CA,Abbott St,"88 Pender St W (Abbott St), Vancouver BC V6B 6N9",Vancouver,V6B 6N9,BC,America/Vancouver,Caveman Cafe,97b25faf822b93fdbf72da1d594c0288
