name,category_id,latitude,longitude,location_formatted_address,rating,review_count,bike_station_id,distance
Congee Noodle Delight,13065,49.2805896869679,-123.106225075342,"88 Pender St W, Vancouver BC V6B 6N9",3.5,91,97b25faf822b93fdbf72da1d594c0288,142.0
Tagine Moroccan Restaurant and Bar,13065,49.28198,-123.1063304,"51 Hastings St W, Vancouver BC V6B 1G4",4.0,148,97b25faf822b93fdbf72da1d594c0288,162.5
Caveman Cafe,13065,49.280802324947445,-123.10703500282293,"88 Pender St W (Abbott St), Vancouver BC V6B 6N9",4.5,270,97b25faf822b93fdbf72da1d594c0288,195.0
Kouign Café,13065,49.280313,-123.1039576,"18 Pender St E, Vancouver BC V6A 1T1",4.5,36,97b25faf822b93fdbf72da1d594c0288,89.5
Adriatic Divine Sandwiches,13065,49.2816164,-123.1024431,"375 Columbia St, Vancouver BC",5.0,1,97b25faf822b93fdbf72da1d594c0288,152.0
Raisu,13065,49.2679990419609,-123.158381134272,"2340 4th Ave W, Vancouver BC V6K 1P1",4.0,418,3596b4831ee2ea7812de753b32306835,74.5
Simpatico Restaurant,13065,49.2680323,-123.1558041,"2222 4th Ave W (at Yew St), Vancouver BC V6K 1N8",3.0,100,3596b4831ee2ea7812de753b32306835,118.5
Kokomo,13065,49.26788927199584,-123.1573825,"2028 Vine St (West 4th), Vancouver BC V6K 3K1",4.5,24,3596b4831ee2ea7812de753b32306835,56.0
McDonald's,13065,49.2684244908126,-123.159454209781,"2391 4th Ave W (at Balsam St), Vancouver BC V6K 1P2",2.0,13,3596b4831ee2ea7812de753b32306835,146.0
Peaceful Restaurant,13065,49.26798,-123.15965,"2394 4th Ave W, Vancouver BC V6K 1P1",3.0,110,3596b4831ee2ea7812de753b32306835,160.0
Deja Brew,13065,49.2636604,-123.1251297,"943 Broadway W, Vancouver BC V5Z 4E1",4.5,52,ace20c241ee38643c9060f290b215b9d,187.0
Halfday Tea + Flower,13065,49.2635709085802,-123.124036450926,"895 Broadway W, Vancouver BC V5Z 1J9",4.5,6,ace20c241ee38643c9060f290b215b9d,169.0
Legendary Noodle,13065,49.2635149,-123.1238718,"887 Broadway W (Laurel Street), Vancouver BC V5Z 1J9",3.5,8,ace20c241ee38643c9060f290b215b9d,171.0
On Lok,13065,49.2808579,-123.0633046,"2010 Hastings St E (at Semlin Dr.), Vancouver BC V5L 1T8",3.0,81,aed214941445e0345aa3254805a9e8b8,199.0
Pelican Seafood Restaurant,13065,49.2815811,-123.0661289,"1895 Hastings St E (Victoria Street), Vancouver BC V5L 1T3",3.0,76,aed214941445e0345aa3254805a9e8b8,150.5
