name,yelp_id,category_id,rating,review_count,price,distance,latitude,longitude,bike_station_id
Calabash Bistro,nNhGmSP8xcBAWokkNv0m1w,13065,4.0,285,$$,23,49.281004479966,-123.104228199529,97b25faf822b93fdbf72da1d594c0288
PiDGiN,H4h_nwZW7f2Yj9ONdzGxHQ,13065,4.0,315,$$$,83,49.2819071402452,-123.104188653967,97b25faf822b93fdbf72da1d594c0288
Aiyaohno Cafe,JoUEZWB0y7tREmRPVJj24A,13065,4.5,9,,28,49.28108,-123.1049,97b25faf822b93fdbf72da1d594c0288
Caveman Cafe,ljnjap6GNVMvS1DNzgDOYA,13065,4.5,270,$$,194,49.280802324947445,-123.10703500282291,97b25faf822b93fdbf72da1d594c0288
Di Beppe,G42wPpAtYNSoX5QxEt6pVg,13065,4.0,133,$$,134,49.282377055816596,-123.10450043738042,97b25faf822b93fdbf72da1d594c0288
Kozak Ukraïnian Eatery,rFpTo5-e7ML6rCVs64PxtA,13065,4.5,23,$$,166,49.282664039944194,-123.1046473704731,97b25faf822b93fdbf72da1d594c0288
Kouign Café,8PrTJSFICr4f_dMictWkuA,13065,4.5,36,,98,49.280313,-123.1039576,97b25faf822b93fdbf72da1d594c0288
Tagine Moroccan Restaurant and Bar,zz4WGzntV59HqhefV5zigQ,13065,4.0,148,$$,171,49.28198,-123.1063304,97b25faf822b93fdbf72da1d594c0288
Tacofino,SE9d6E3AAnmZ_NiA_iKoUQ,13065,3.5,448,$$,180,49.28279,-123.10478,97b25faf822b93fdbf72da1d594c0288
Congee Noodle Delight,g2H-Ml9RJp3aHzdAr8Mkwg,13065,3.5,91,$,146,49.2805896869679,-123.106225075342,97b25faf822b93fdbf72da1d594c0288
Bali Thai,IzV22QQpDf3bRgkilWI9Yg,13065,4.5,91,$,164,49.2802711224293,-123.106226601714,97b25faf822b93fdbf72da1d594c0288
Caffe Di Beppe,kgw2PqMWCr8yShvtk9Tqxw,13065,4.5,16,,132,49.28235624721356,-123.1045101,97b25faf822b93fdbf72da1d594c0288
Taco Time,0Y09E0G4BVdmPsYFVGDLMg,13065,3.0,9,$,139,49.280638988130214,-123.1061540141423,97b25faf822b93fdbf72da1d594c0288
Adriatic Divine Sandwiches,i2p09JzKNnHsy_QwxJvKnQ,13065,5.0,1,,154,49.2816164,-123.1024431,97b25faf822b93fdbf72da1d594c0288
Gastronomy Gastown,pObPLuVrH5PtsCEdDI66oA,13065,4.0,1,,162,49.282192076905154,-123.1028121,97b25faf822b93fdbf72da1d594c0288
BARA Caribbean Cuisine,AGNnyZ0tYkz1ECKdqbINaA,13065,3.5,6,$$,175,49.28017805313977,-123.10629397630692,97b25faf822b93fdbf72da1d594c0288
Between 2 Buns,m-SGSaDxccZFELzED9B2qw,13065,3.5,21,$$,188,49.28057828800778,-123.10198848245545,97b25faf822b93fdbf72da1d594c0288
Donair Thyme,KVQwMt3pckc8Ceyciq-5WA,13065,5.0,1,,119,49.28211,-123.10373,97b25faf822b93fdbf72da1d594c0288
The Salty Tongue,j2pWJMas_sDbreSb3vm4qA,13065,5.0,1,,188,49.2828515879063,-123.104129265909,97b25faf822b93fdbf72da1d594c0288
Third Beach Concession,OXPDSeqYp9p19PDDpg-ilg,13065,1.5,2,$,198,49.3016505,-123.1561634,9aa325529164ec68b4d96c4f1c4fc7c1
The Farmer's Apprentice,rFjbt0a6as14jAEPnHNQtQ,13065,3.5,182,$$$,129,49.2662176,-123.1395648,57e928d8c30fab0ebffb3ede850f89d6
Paul's Omelettery Restaurant,zrb_IVQQ3dEGBghYuZe7vg,13065,4.0,299,$$,192,49.26597,-123.1389,57e928d8c30fab0ebffb3ede850f89d6
Salade de Fruits Cafe,IKXFu9H6ngGOS2JRmfmjlw,13065,4.0,172,$$,152,49.2655161,-123.1401237,57e928d8c30fab0ebffb3ede850f89d6
Lumine Coffee,GEIXe3sD7oVPsPPfcI9Gnw,13065,4.5,19,$,152,49.2681372,-123.1413287,57e928d8c30fab0ebffb3ede850f89d6
The Frying Irishman,0vjKqJuAM69B8psdq2NUoA,13065,5.0,1,,60,49.26736,-123.14128,57e928d8c30fab0ebffb3ede850f89d6
Las Autenticas Tacos & Tortas Ahogadas,WLe3xluaCX8KcUdYDiCjzQ,13065,4.5,4,,60,49.26736,-123.14128,57e928d8c30fab0ebffb3ede850f89d6
Carnitas El Rolys,4yivO9_j79NhBXMta0suvg,13065,5.0,1,,60,49.2673589,-123.1412788,57e928d8c30fab0ebffb3ede850f89d6
Juicy Joe’s,wyp6wDEkl7zMlrcP9pIalA,13065,5.0,1,,192,49.26599,-123.138767,57e928d8c30fab0ebffb3ede850f89d6
Pibil House,gRE89aLww9T9exuzYKBQsQ,13065,0.0,0,,103,49.26723098754883,-123.14210510253906,57e928d8c30fab0ebffb3ede850f89d6
Centre Culturel Francophone De Vancouver - Ccfv,co7YopPhz8pPtKUW_dRLtg,13065,4.5,2,,152,49.2655161,-123.1401003,57e928d8c30fab0ebffb3ede850f89d6
Edith Work,CdR44bgOAeH4x5132WWxeg,13065,0.0,0,,69,49.26735,-123.14162,57e928d8c30fab0ebffb3ede850f89d6
Raisu,TQj4HSCmm5GnriKMiSpqpQ,13065,4.0,418,$$,77,49.2679990419609,-123.158381134272,3596b4831ee2ea7812de753b32306835
Au Comptoir,Bo30wYCWWy5M9g1W7GQ5SQ,13065,4.0,209,$$$,62,49.268034328356,-123.15672487756,3596b4831ee2ea7812de753b32306835
Delara,hhEZldyc-CZMP3WYysiqgg,13065,4.5,31,,63,49.2680486,-123.1569183,3596b4831ee2ea7812de753b32306835
Maria's Taverna,xkZuQgCjBgUYmS0BFEzMNA,13065,3.5,98,$$,60,49.2680721,-123.1583754,3596b4831ee2ea7812de753b32306835
Kokomo,S4DFeNGphgug2E-dLfiLXg,13065,4.5,24,,50,49.267889271995834,-123.1573825,3596b4831ee2ea7812de753b32306835
Simit Bakery Cafe,phdll2c9FSjRgzcff1ToXw,13065,4.5,8,,63,49.2680486,-123.1569183,3596b4831ee2ea7812de753b32306835
Hi-Nippon Japanese Restaurant,jZPYyfrEhn1jIlo2MXFPuA,13065,3.5,95,$$,43,49.2682170438708,-123.156875551101,3596b4831ee2ea7812de753b32306835
